City,ZipCode,admname1,adm1,adm2,placename,Clown_Name,Clown_Na_1,Country
DEERWOOD,56444,Minnesota,MN,Crow Wing,Deerwood,TOOTSIE,TOOTSIE,USA
DEFIANCE,43512,Ohio,OH,Defiance,Defiance,POP,POP,USA
DELAND,32721,Florida,FL,Volusia,Deland,PROF. KNO-Y,PROF. KNO-Y,USA
DELANO,93216,California,CA,Kern,Delano,MANNY THE CLOWN,MANNY THE CLOWN,USA
DELAVAN,53115,Wisconsin,WI,Walworth,Delavan,,,USA
DELMAR,12054,New York,NY,Albany,Delmar,CURLEE QUE,CURLEE QUE,USA
DELMAR,12054,New York,NY,Albany,Delmar,LES,LES,USA
DELMONT,15626,Pennsylvania,PA,Westmoreland,Delmont,KIT KAT,KIT KAT,USA
DELPHI,46923,Indiana,IN,Carroll,Delphi,REDDY,REDDY,USA
DELPHI,46923,Indiana,IN,Carroll,Delphi,HEYSEED,HEYSEED,USA
DELRAN,8075,New Jersey,NJ,Burlington,Riverside,SCRUFFY/PEDRO,SCRUFFY/PEDRO,USA
DELRAY BEACH,33446,Florida,FL,Palm Beach,Delray Beach,COBO,COBO,USA
DELRAY BEACH,33445,Florida,FL,Palm Beach,Delray Beach,DUSTY,DUSTY,USA
DENISON,75020,Texas,TX,Grayson,Denison,STARLITE,STARLITE,USA
DENVER,28037,North Carolina,NC,Lincoln,Denver,YIPPY,YIPPY,USA
DENVER,80231,Colorado,CO,Denver,Denver,JEANNE,JEANNE,USA
DENVER,80219,Colorado,CO,Denver,Denver,STRETCH,STRETCH,USA
DENVER,80219,Colorado,CO,Denver,Denver,LIDDY BETH,LIDDY BETH,USA
DENVER,80247,Colorado,CO,Denver County,Denver,CLUELESS,CLUELESS,USA
DENVER,80231,Colorado,CO,Denver,Denver,,,USA
DENVER,80211,Colorado,CO,Denver,Denver,SPRINKLES,SPRINKLES,USA
DENVER,80227,Colorado,CO,Denver,Denver,NURSE PATCH-IT,NURSE PATCH-IT,USA
DENVER,80220,Colorado,CO,Denver,Denver,ALLIE ANNIE,ALLIE ANNIE,USA
DENVER,80227,Colorado,CO,Denver,Denver,DIMPLES,DIMPLES,USA
DENVER,80219,Colorado,CO,Denver,Denver,DOT,DOT,USA
DENVER,80219,Colorado,CO,Denver,Denver,POSS,POSS,USA
DENVER,80221,Colorado,CO,Adams,Denver,"BESITOS ""LITTLE KISSES""","BESITOS ""LITTLE KISSES""",USA
